"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.299972869759083,7036.99421607736,0.950756228638439,0.623266533379222,0.587065941018889,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(PC1) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.300126208414463,7041.80437145442,0.951005743216358,0.622880095500044,0.588135437859678,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.300143589764943,7051.70589146047,0.95081385253807,0.622077905671827,0.587286261783688,TRUE
"snow crab","binomial","present ~ s(oxygen_bottom5m) + s(pH_bottom5m) + s(PC1) + s(X,      Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.300186181059351,7035.51494741791,0.951589352711457,0.625928837784595,0.588331234576668,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(X,      Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.300332891623432,7050.82094164222,0.950569878719731,0.62212923626268,0.586338408889825,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(PC2) + s(X, Y, k = 100, bs = ""gp"",      by = cold_pool_2C, m = c(-3, 100))",0.300353457443757,6970.01925574704,0.952598698710091,0.631681544745613,0.593407874021032,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.300355653977743,7068.07698909793,0.950406954617107,0.620932168276122,0.585177761037883,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(PC1) + s(PC2) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.300482136079003,6996.94190831646,0.95198571030373,0.627086602434867,0.591151715387343,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(pH_bottom5m) +      s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.30051797657098,7031.20729622471,0.95160502146413,0.625850170427861,0.588468906731682,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(PC1) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.300907901430307,6994.00145511676,0.952059441062605,0.627382361810116,0.591526173995939,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(PC1) +      s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.300990049128352,7001.33850160491,0.951873168456822,0.62667279996445,0.591019840925183,TRUE
"snow crab","binomial","present ~ s(pH_bottom5m) + s(PC1) + s(PC2) + s(X, Y, k = 100,      bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.300998955170786,7020.45394103284,0.951855077232519,0.627066599471554,0.589131129856752,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(PC1) + s(PC2) + s(X, Y, k = 100, bs = ""gp"",      by = cold_pool_2C, m = c(-3, 100))",0.301134473684143,7012.4649385072,0.951697358866803,0.625845010863581,0.590109662628554,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(PC2) + s(X, Y,      k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.301178343090959,7017.8295710202,0.951452740774094,0.625289292542775,0.588808108279427,TRUE
"snow crab","binomial","present ~ s(oxygen_bottom5m) + s(pH_bottom5m) + s(PC1) + s(PC2) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.301433297376459,7009.31421600688,0.952114204384034,0.628661412925001,0.590529691128295,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.301545764047525,7006.0534530979,0.951617700783726,0.626212669372118,0.589810922344057,TRUE
