"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,685.065396003013,6371.40252995408,643.429009695872,6438.61870849632,0.877022653721683
1983,679.837761873794,6396.65700684695,651.642625614186,6444.27334064411,0.925233644859813
1984,686.489801406583,6372.60797796991,672.81234047226,6429.82928473051,0.893081761006289
1985,583.460728261565,6408.38631301249,666.016259877389,6447.64528279918,0.927051671732523
1986,624.93799856864,6375.99710021269,677.160557755002,6438.53866931738,0.938271604938272
1987,510.928058419145,6458.21658351438,660.937132410196,6468.04943716347,0.944099378881988
1988,501.102544607274,6437.60031995117,645.119858155362,6460.1396042117,0.915697674418605
1989,468.883764691378,6488.34608072579,633.478567510689,6470.89973777118,0.944444444444444
1990,469.998499841018,6431.79288725309,652.039699720363,6454.40216228042,0.895043731778426
1991,557.144607229598,6385.46267476925,657.347960760095,6453.05089285048,0.926900584795322
1992,502.853609476593,6454.43376871505,658.980800130795,6440.67674853191,0.890577507598784
1993,659.298401266979,6375.04739879702,645.594014263911,6462.36769536804,0.92836676217765
1994,672.328800240282,6377.90818637309,669.874388400136,6452.75918064757,0.912790697674419
1995,680.708987917221,6351.62897744685,660.858613151284,6458.80854795782,0.884726224783862
1996,641.380534447985,6416.13633239504,646.721289367862,6481.202358604,0.92485549132948
1997,512.352640880984,6514.24177589503,648.965833370028,6476.55061353315,0.912536443148688
1998,580.277974133441,6543.20380428194,648.60324956603,6484.41833512905,0.936231884057971
1999,467.416099495082,6470.33655517473,659.89116521452,6449.93601022305,0.898550724637681
2000,597.72790263169,6423.69219397575,663.886559178702,6463.73009297526,0.936416184971098
2001,566.775125355385,6423.7169876311,657.79371824185,6463.6291429413,0.951008645533141
2002,540.672654337956,6484.13545067976,658.333845369798,6470.38229641624,0.936416184971098
2003,623.224303306365,6409.72816757333,647.545053431036,6469.49360018189,0.93371757925072
2004,578.065686180881,6423.97066907002,654.075070537203,6473.10700758254,0.968299711815562
2005,512.657260587159,6443.03128379678,650.532453807664,6475.51529381028,0.950724637681159
2006,508.874691643754,6441.36213679529,656.109015095286,6450.97467039965,0.879310344827586
2007,471.812889442344,6445.6234518703,642.557724633255,6441.3243437264,0.752906976744186
2008,470.483545564691,6467.66880113064,629.212684666491,6452.61833978723,0.769679300291545
2009,435.375094549092,6460.5881097992,650.104260575294,6438.23464143986,0.706051873198847
2010,446.1204933357,6478.10232612754,629.87184011655,6544.63167895231,0.631687242798354
2011,509.176732175933,6438.67439480572,629.273345086041,6464.73124986273,0.898550724637681
2012,584.691120897893,6409.55677249106,635.744825689826,6452.38255825609,0.85632183908046
2013,471.530394695645,6476.09963285182,638.887506651685,6456.30321483131,0.867816091954023
2014,545.603463698974,6469.57868428537,647.237616199182,6464.30829589225,0.947674418604651
2015,533.387753257306,6508.76492313213,648.90548143943,6471.2560313268,0.994269340974212
2016,586.206260177759,6487.95796110848,648.761321387755,6472.76182896728,0.991379310344828
2017,616.357240682824,6559.57708800914,625.743997397746,6617.62904784313,0.979296066252588
2018,582.666361398956,6480.6362478063,645.505249467751,6477.51401990761,0.977077363896848
2019,511.174359350989,6565.9635057169,627.761049891732,6608.74490118515,0.96551724137931
