"x","fit","se","lower","upper","component","model","predictor","weight"
-1.65618407726288,-0.681100734810379,0.241057477296614,-0.922158212106993,-0.440043257513764,"binomial",1,"temp_bottom5m",0.048045948225306
-1.51180253606854,-0.644302001876105,0.23003756462663,-0.874339566502735,-0.414264437249475,"binomial",1,"temp_bottom5m",0.048045948225306
-1.3674209948742,-0.607504626609733,0.219036159185754,-0.826540785795487,-0.38846846742398,"binomial",1,"temp_bottom5m",0.048045948225306
-1.22303945367986,-0.570714864609425,0.208057294827811,-0.778772159437236,-0.362657569781615,"binomial",1,"temp_bottom5m",0.048045948225306
-1.07865791248553,-0.53394669070636,0.197106991928919,-0.73105368263528,-0.336839698777441,"binomial",1,"temp_bottom5m",0.048045948225306
-0.934276371291189,-0.497222858469792,0.186193530086602,-0.683416388556394,-0.311029328383191,"binomial",1,"temp_bottom5m",0.048045948225306
-0.789894830096852,-0.460575579399914,0.175327663241255,-0.635903242641169,-0.285247916158659,"binomial",1,"temp_bottom5m",0.048045948225306
-0.645513288902514,-0.424045911588848,0.164522628812231,-0.588568540401079,-0.259523282776617,"binomial",1,"temp_bottom5m",0.048045948225306
-0.501131747708176,-0.387684926559157,0.153794508800284,-0.541479435359441,-0.233890417758873,"binomial",1,"temp_bottom5m",0.048045948225306
-0.356750206513838,-0.351552474996701,0.14316222215593,-0.494714697152631,-0.208390252840772,"binomial",1,"temp_bottom5m",0.048045948225306
-0.2123686653195,-0.315715624136171,0.13264756866934,-0.44836319280551,-0.183068055466831,"binomial",1,"temp_bottom5m",0.048045948225306
-0.0679871241251626,-0.280247192586045,0.122275455886332,-0.402522648472377,-0.157971736699713,"binomial",1,"temp_bottom5m",0.048045948225306
0.0763944170691753,-0.245224459539338,0.112074406193676,-0.357298865733014,-0.133150053345663,"binomial",1,"temp_bottom5m",0.048045948225306
0.220775958263513,-0.210728858621925,0.102077593589182,-0.312806452211107,-0.108651265032743,"binomial",1,"temp_bottom5m",0.048045948225306
0.365157499457851,-0.176845014550585,0.0923243539649329,-0.269169368515518,-0.0845206605856521,"binomial",1,"temp_bottom5m",0.048045948225306
0.509539040652188,-0.143659964637887,0.0828626550816179,-0.226522619719504,-0.0607973095562687,"binomial",1,"temp_bottom5m",0.048045948225306
0.653920581846526,-0.111262891267776,0.0737531231051134,-0.18501601437289,-0.037509768162663,"binomial",1,"temp_bottom5m",0.048045948225306
0.798302123040864,-0.0797447994565096,0.0650754301821268,-0.144820229638636,-0.0146693692743828,"binomial",1,"temp_bottom5m",0.048045948225306
0.942683664235202,-0.0491976661642328,0.0569383349677934,-0.106136001132026,0.00774066880356065,"binomial",1,"temp_bottom5m",0.048045948225306
1.08706520542954,-0.0197135626316433,0.0494949988872516,-0.0692085615188949,0.0297814362556083,"binomial",1,"temp_bottom5m",0.048045948225306
1.23144674662388,0.00861612243346839,0.0429635627063338,-0.0343474402728654,0.0515796851398022,"binomial",1,"temp_bottom5m",0.048045948225306
1.37582828781822,0.0357011093654299,0.0376448387788914,-0.00194372941346153,0.0733459481443213,"binomial",1,"temp_bottom5m",0.048045948225306
1.52020982901255,0.0614526456483101,0.033906340677194,0.0275463049711161,0.0953589863255041,"binomial",1,"temp_bottom5m",0.048045948225306
1.66459137020689,0.0857839313628196,0.0320766254900665,0.0537073058727531,0.117860556852886,"binomial",1,"temp_bottom5m",0.048045948225306
1.80897291140123,0.108611011353932,0.0322505383348323,0.0763604730190999,0.140861549688764,"binomial",1,"temp_bottom5m",0.048045948225306
1.95335445259557,0.129853324609418,0.0341788035401111,0.0956745210693069,0.164032128149529,"binomial",1,"temp_bottom5m",0.048045948225306
2.0977359937899,0.149433651243048,0.0373927564623116,0.112040894780736,0.186826407705359,"binomial",1,"temp_bottom5m",0.048045948225306
2.24211753498424,0.167278707387615,0.0414181380363986,0.125860569351217,0.208696845424014,"binomial",1,"temp_bottom5m",0.048045948225306
2.38649907617858,0.183319912954312,0.0458877040550586,0.137432208899253,0.22920761700937,"binomial",1,"temp_bottom5m",0.048045948225306
2.53088061737292,0.197493553345569,0.0505501997946472,0.146943353550922,0.248043753140217,"binomial",1,"temp_bottom5m",0.048045948225306
2.67526215856726,0.209741092184497,0.0552424378424194,0.154498654342078,0.264983530026917,"binomial",1,"temp_bottom5m",0.048045948225306
2.81964369976159,0.220010029603104,0.0598610153184634,0.16014901428464,0.279871044921567,"binomial",1,"temp_bottom5m",0.048045948225306
2.96402524095593,0.228254909441706,0.0643422646232351,0.163912644818471,0.292597174064941,"binomial",1,"temp_bottom5m",0.048045948225306
3.10840678215027,0.234437858622574,0.0686494139510995,0.165788444671474,0.303087272573673,"binomial",1,"temp_bottom5m",0.048045948225306
3.25278832334461,0.238528214961845,0.07276448849191,0.165763726469935,0.311292703453755,"binomial",1,"temp_bottom5m",0.048045948225306
3.39716986453894,0.240502972966348,0.0766834618192824,0.163819511147066,0.317186434785631,"binomial",1,"temp_bottom5m",0.048045948225306
3.54155140573328,0.24034544971486,0.0804128772428453,0.159932572472015,0.320758326957705,"binomial",1,"temp_bottom5m",0.048045948225306
3.68593294692762,0.23804566072432,0.0839679480090768,0.154077712715243,0.322013608733396,"binomial",1,"temp_bottom5m",0.048045948225306
3.83031448812196,0.233600052987806,0.0873711599619395,0.146228893025866,0.320971212949746,"binomial",1,"temp_bottom5m",0.048045948225306
3.9746960293163,0.227010567703013,0.0906511252048903,0.136359442498122,0.317661692907903,"binomial",1,"temp_bottom5m",0.048045948225306
4.11907757051063,0.218284951401735,0.0938418574044491,0.124443093997286,0.312126808806185,"binomial",1,"temp_bottom5m",0.048045948225306
4.26345911170497,0.207436412814969,0.0969819786177629,0.110454434197206,0.304418391432732,"binomial",1,"temp_bottom5m",0.048045948225306
4.40784065289931,0.194483448962035,0.100113933885532,0.0943695150765027,0.294597382847568,"binomial",1,"temp_bottom5m",0.048045948225306
4.55222219409365,0.179449610536541,0.103283119036457,0.0761664915000845,0.282732729572998,"binomial",1,"temp_bottom5m",0.048045948225306
4.69660373528798,0.162363970695231,0.10653698444152,0.0558269862537114,0.268900955136752,"binomial",1,"temp_bottom5m",0.048045948225306
4.84098527648232,0.143260871361611,0.109923905784424,0.033336965577187,0.253184777146034,"binomial",1,"temp_bottom5m",0.048045948225306
4.98536681767666,0.122178781156793,0.113491890814473,0.00868689034231949,0.235670671971266,"binomial",1,"temp_bottom5m",0.048045948225306
5.129748358871,0.0991587415555261,0.117287288314169,-0.0181285467586427,0.216446029869695,"binomial",1,"temp_bottom5m",0.048045948225306
5.27412990006534,0.0742436459616508,0.121353679739427,-0.0471100337777764,0.195597325701078,"binomial",1,"temp_bottom5m",0.048045948225306
5.41851144125967,0.0474778875242535,0.125730923445585,-0.0782530359213312,0.173208810969838,"binomial",1,"temp_bottom5m",0.048045948225306
5.56289298245401,0.0189067442363718,0.130454359141902,-0.11154761490553,0.149361103378274,"binomial",1,"temp_bottom5m",0.048045948225306
5.70727452364835,-0.0114240220188757,0.135554254095844,-0.146978276114719,0.124130232076968,"binomial",1,"temp_bottom5m",0.048045948225306
5.85165606484269,-0.0434682016806849,0.141055497511278,-0.184523699191963,0.0975872958305933,"binomial",1,"temp_bottom5m",0.048045948225306
5.99603760603703,-0.0771791026876347,0.14697751561393,-0.224156618301565,0.0697984129262953,"binomial",1,"temp_bottom5m",0.048045948225306
6.14041914723136,-0.112509522463249,0.15333438686226,-0.26584390932551,0.0408248643990108,"binomial",1,"temp_bottom5m",0.048045948225306
6.2848006884257,-0.149411592104742,0.160135121104912,-0.309546713209654,0.01072352900017,"binomial",1,"temp_bottom5m",0.048045948225306
6.42918222962004,-0.187836996605692,0.167384075239429,-0.355221071845121,-0.0204529213662638,"binomial",1,"temp_bottom5m",0.048045948225306
6.57356377081438,-0.227737129368866,0.175081464865779,-0.402818594234646,-0.052655664503087,"binomial",1,"temp_bottom5m",0.048045948225306
6.71794531200871,-0.269062961357504,0.18322390567681,-0.452286867034314,-0.0858390556806935,"binomial",1,"temp_bottom5m",0.048045948225306
6.86232685320305,-0.31176520850606,0.191804973373941,-0.503570181880001,-0.119960235132119,"binomial",1,"temp_bottom5m",0.048045948225306
7.00670839439739,-0.35579443164005,0.200815742290732,-0.556610173930782,-0.154978689349318,"binomial",1,"temp_bottom5m",0.048045948225306
7.15108993559173,-0.401101110506618,0.210245281587054,-0.611346392093672,-0.190855828919563,"binomial",1,"temp_bottom5m",0.048045948225306
7.29547147678607,-0.447635705614219,0.220081097004361,-0.66771680261858,-0.227554608609857,"binomial",1,"temp_bottom5m",0.048045948225306
7.4398530179804,-0.495348748356534,0.230309517255934,-0.725658265612469,-0.2650392311006,"binomial",1,"temp_bottom5m",0.048045948225306
7.58423455917474,-0.544190929535742,0.240916023018669,-0.785106952554411,-0.303274906517074,"binomial",1,"temp_bottom5m",0.048045948225306
7.72861610036908,-0.594113210823279,0.251885524850582,-0.845998735673861,-0.342227685972697,"binomial",1,"temp_bottom5m",0.048045948225306
7.87299764156342,-0.6450668546704,0.263202582251319,-0.90826943692172,-0.381864272419081,"binomial",1,"temp_bottom5m",0.048045948225306
8.01737918275775,-0.697003199550185,0.274851542509548,-0.971854742059733,-0.422151657040636,"binomial",1,"temp_bottom5m",0.048045948225306
8.16176072395209,-0.749873585796767,0.286816655769363,-1.03669024156613,-0.463056930027404,"binomial",1,"temp_bottom5m",0.048045948225306
8.30614226514643,-0.803629493598616,0.299082189087163,-1.10271168268578,-0.504547304511453,"binomial",1,"temp_bottom5m",0.048045948225306
8.45052380634077,-0.858223076226115,0.311632580579484,-1.1698556568056,-0.54659049564663,"binomial",1,"temp_bottom5m",0.048045948225306
8.59490534753511,-0.913607275157949,0.324452520450787,-1.23805979560874,-0.589154754707162,"binomial",1,"temp_bottom5m",0.048045948225306
8.73928688872944,-0.969735726230234,0.337526982626706,-1.30726270885694,-0.632208743603527,"binomial",1,"temp_bottom5m",0.048045948225306
8.88366842992378,-1.026562847767,0.350841269833373,-1.37740411760038,-0.67572157793363,"binomial",1,"temp_bottom5m",0.048045948225306
9.02804997111812,-1.08404411821529,0.364381081403428,-1.44842519961871,-0.719663036811858,"binomial",1,"temp_bottom5m",0.048045948225306
9.17243151231246,-1.1421359294225,0.378132504669956,-1.52026843409246,-0.764003424752545,"binomial",1,"temp_bottom5m",0.048045948225306
9.31681305350679,-1.20079509270595,0.392081935936161,-1.59287702864212,-0.808713156769794,"binomial",1,"temp_bottom5m",0.048045948225306
9.46119459470113,-1.25997903580574,0.406216110957101,-1.66619514676285,-0.853762924848644,"binomial",1,"temp_bottom5m",0.048045948225306
9.60557613589547,-1.31964572837876,0.420522087219144,-1.7401678155979,-0.899123641159612,"binomial",1,"temp_bottom5m",0.048045948225306
9.74995767708981,-1.37975360937007,0.434987223521252,-1.81474083289132,-0.944766385848819,"binomial",1,"temp_bottom5m",0.048045948225306
9.89433921828414,-1.44026137940625,0.44959913265069,-1.88986051205694,-0.990662246755557,"binomial",1,"temp_bottom5m",0.048045948225306
10.0387207594785,-1.50112918415607,0.464345889781767,-1.96547507393784,-1.03678329437431,"binomial",1,"temp_bottom5m",0.048045948225306
10.1831023006728,-1.56232035621751,0.479216359274046,-2.04153671549156,-1.08310399694346,"binomial",1,"temp_bottom5m",0.048045948225306
10.3274838418672,-1.62380031731877,0.494199999620805,-2.11800031693958,-1.12960031769797,"binomial",1,"temp_bottom5m",0.048045948225306
10.4718653830615,-1.68553607849954,0.509286767882611,-2.19482284638215,-1.17624931061693,"binomial",1,"temp_bottom5m",0.048045948225306
10.6162469242558,-1.74749644801403,0.524467154404611,-2.27196360241864,-1.22302929360942,"binomial",1,"temp_bottom5m",0.048045948225306
10.7606284654502,-1.80965188614011,0.539732150342598,-2.34938403648271,-1.26991973579751,"binomial",1,"temp_bottom5m",0.048045948225306
10.9050100066445,-1.87197413124511,0.555073168797894,-2.427047300043,-1.31690096244721,"binomial",1,"temp_bottom5m",0.048045948225306
11.0493915478388,-1.93443886452103,0.570482561029608,-2.50492142555064,-1.36395630349142,"binomial",1,"temp_bottom5m",0.048045948225306
11.1937730890332,-1.99702655925035,0.585953792714205,-2.58298035196455,-1.41107276653614,"binomial",1,"temp_bottom5m",0.048045948225306
11.3381546302275,-2.05971924693292,0.60148081053375,-2.66120005746667,-1.45823843639917,"binomial",1,"temp_bottom5m",0.048045948225306
11.4825361714219,-2.12249987260969,0.617057903830511,-2.73955777644021,-1.50544196877918,"binomial",1,"temp_bottom5m",0.048045948225306
11.6269177126162,-2.18535176608118,0.632679586436418,-2.8180313525176,-1.55267217964477,"binomial",1,"temp_bottom5m",0.048045948225306
11.7712992538105,-2.24825956415734,0.64834077002234,-2.89660033417968,-1.599918794135,"binomial",1,"temp_bottom5m",0.048045948225306
11.9156807950049,-2.31120918149518,0.664036750714253,-2.97524593220944,-1.64717243078093,"binomial",1,"temp_bottom5m",0.048045948225306
12.0600623361992,-2.37418953500442,0.679763553711442,-3.05395308871586,-1.69442598129298,"binomial",1,"temp_bottom5m",0.048045948225306
12.2044438773936,-2.43719218478041,0.69551786035321,-3.13271004513362,-1.7416743244272,"binomial",1,"temp_bottom5m",0.048045948225306
12.3488254185879,-2.50021041616794,0.711296818196789,-3.21150723436473,-1.78891359797115,"binomial",1,"temp_bottom5m",0.048045948225306
12.4932069597822,-2.56323826535933,0.727097835269103,-3.29033610062843,-1.83614043009022,"binomial",1,"temp_bottom5m",0.048045948225306
12.6375885009766,-2.62627001186017,0.742918467233126,-3.3691884790933,-1.88335154462705,"binomial",1,"temp_bottom5m",0.048045948225306
16.3647499084473,-0.514471459703703,0.337746031967145,-0.852217491670848,-0.176725427736558,"binomial",1,"oxygen_bottom5m",0.048045948225306
21.1628011838354,-0.538105439455861,0.330019672945992,-0.868125112401854,-0.208085766509869,"binomial",1,"oxygen_bottom5m",0.048045948225306
25.9608524592236,-0.561739327571661,0.322484123607323,-0.884223451178984,-0.239255203964338,"binomial",1,"oxygen_bottom5m",0.048045948225306
30.7589037346117,-0.585371541794178,0.315153148488541,-0.900524690282719,-0.270218393305637,"binomial",1,"oxygen_bottom5m",0.048045948225306
35.5569550099999,-0.608993891139696,0.308041669948281,-0.917035561087977,-0.300952221191415,"binomial",1,"oxygen_bottom5m",0.048045948225306
40.3550062853881,-0.63258510968867,0.301165776377171,-0.933750886065841,-0.331419333311499,"binomial",1,"oxygen_bottom5m",0.048045948225306
45.1530575607762,-0.656114594726966,0.294542098833451,-0.950656693560417,-0.361572495893515,"binomial",1,"oxygen_bottom5m",0.048045948225306
49.9511088361644,-0.679544453518861,0.288187306402429,-0.967731759921289,-0.391357147116432,"binomial",1,"oxygen_bottom5m",0.048045948225306
54.7491601115525,-0.702830027854179,0.282117647821408,-0.984947675675588,-0.420712380032771,"binomial",1,"oxygen_bottom5m",0.048045948225306
59.5472113869407,-0.725923094397876,0.276348444358747,-1.00227153875662,-0.449574650039129,"binomial",1,"oxygen_bottom5m",0.048045948225306
64.3452626623288,-0.748774360060449,0.270893691451144,-1.01966805151159,-0.477880668609305,"binomial",1,"oxygen_bottom5m",0.048045948225306
69.143313937717,-0.771334338231136,0.265765741561882,-1.03710007979302,-0.505568596669254,"binomial",1,"oxygen_bottom5m",0.048045948225306
73.9413652131052,-0.793552816331108,0.260974992741019,-1.05452780907213,-0.532577823590089,"binomial",1,"oxygen_bottom5m",0.048045948225306
78.7394164884933,-0.815378573850135,0.256529556331479,-1.07190813018161,-0.558849017518656,"binomial",1,"oxygen_bottom5m",0.048045948225306
83.5374677638815,-0.836759375732232,0.252434930999485,-1.08919430673172,-0.584324444732747,"binomial",1,"oxygen_bottom5m",0.048045948225306
88.3355190392696,-0.85764089051147,0.248693647565471,-1.10633453807694,-0.608947242945999,"binomial",1,"oxygen_bottom5m",0.048045948225306
93.1335703146578,-0.877965331967798,0.245304874059193,-1.12327020602699,-0.632660457908605,"binomial",1,"oxygen_bottom5m",0.048045948225306
