"id","species","component","formula","AIC","dev.expl","AUC","biomass_pearson","biomass_spearman","weight"
1,"northern rock sole","binomial","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",6117.54700657908,0.290695091772736,0.848671326927368,NA,NA,0.0924471249766487
1,"northern rock sole","tweedie","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",123933.512315761,0.438415367314251,NA,0.336336515166874,0.730739471461331,0.200160446100744
2,"northern rock sole","binomial","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",6094.8640787513,0.293116523359974,0.848734475137285,NA,NA,0.0432326038481203
2,"northern rock sole","tweedie","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",123947.069931858,0.437104203053486,NA,0.33599699185988,0.734961069860456,0.0556860176836254
3,"northern rock sole","binomial","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",5191.43051809962,0.404798754144869,0.897432611107227,NA,NA,0.78987262049261
3,"northern rock sole","tweedie","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",123351.691170477,0.472893484673824,NA,0.387086895498841,0.733463539762016,0.362582337430826
4,"northern rock sole","binomial","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",5240.06441483274,0.399138077505128,0.896153436790112,NA,NA,0.0744476506826208
4,"northern rock sole","tweedie","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",123310.309649595,0.475247499726951,NA,0.387725107110034,0.733901265705626,0.381571198784805
