"year","sim","eastings_mean","eastings_sd","northings_mean","northings_sd","eastings_mean_occ","eastings_sd_occ","northings_mean_occ","northings_sd_occ","area_occupied_mean","area_occupied_median","area_occupied_2.5","area_occupied_25","area_occupied_75","area_occupied_97.5","mahalanobis_binom","mahalanobis_tweedie","northings_survey_mean","northings_survey_mean_occ","eastings_survey_mean","eastings_survey_mean_occ","area_occupied_survey_mean","area_occupied_survey_median"
1970,"hindcast",451.265035238996,51.156845247387,6502.64325129558,27.1496914264063,602.430400536013,5.41650171847843,6606.20599617733,7.87845696983731,0.899803536345776,0.884086444007859,0.870333988212181,0.87819253438114,0.905697445972495,0.968565815324165,1.75324549220714,2.20572707056803,NA,NA,NA,NA,NA,NA
1971,"hindcast",404.042132325537,60.2089938109145,6517.63742950856,30.0097732593109,603.80186865751,5.77876413009436,6596.12541917224,12.7596379980778,0.893909626719057,0.860510805500982,0.842829076620825,0.850687622789784,0.888015717092338,0.968565815324165,1.56115232177423,2.05345527131962,NA,NA,NA,NA,NA,NA
1972,"hindcast",406.965032769456,61.9885237619961,6513.96889435266,30.1929476298253,607.354045135749,3.98055515259153,6590.76845936897,16.4076220204967,0.901768172888016,0.867387033398821,0.848722986247544,0.860510805500982,0.8762278978389,0.968565815324165,2.02149332189818,2.35990842907467,NA,NA,NA,NA,NA,NA
1973,"hindcast",453.292447003792,59.2226256275777,6484.62439661186,32.194222292975,603.816660773597,4.64047942947839,6603.42556382119,9.15395479502019,0.915520628683694,0.893909626719057,0.880157170923379,0.888015717092338,0.917485265225933,0.966601178781925,1.46460339390534,2.02478599584731,NA,NA,NA,NA,NA,NA
1974,"hindcast",413.703375977661,49.5668726716738,6521.28002384382,19.3472081627366,604.50173329749,4.41056179457466,6604.6051021187,7.88889111332222,0.921414538310413,0.905697445972495,0.893909626719057,0.899803536345776,0.915520628683694,0.968565815324165,1.35464523747517,1.93384989007953,NA,NA,NA,NA,NA,NA
1975,"hindcast",436.831143215282,69.7380698945476,6486.90501985884,35.1177135688693,607.487879781836,3.44786240166341,6593.4216664751,14.1706536478446,0.907662082514735,0.8762278978389,0.864440078585462,0.87229862475442,0.882121807465619,0.970530451866405,1.62908907426107,2.12537489314012,NA,NA,NA,NA,NA,NA
1976,"hindcast",400.939154062661,60.513542983525,6508.48176373916,28.1467933148848,607.160137561853,4.050286400649,6593.44802926043,14.299793438243,0.907662082514735,0.87426326129666,0.862426326129666,0.870333988212181,0.882121807465619,0.970530451866405,1.64301371278923,2.03880110675183,NA,NA,NA,NA,NA,NA
1977,"hindcast",449.810774604568,52.951601787069,6499.93448062026,32.0324693975559,603.94007519075,4.25959789066265,6605.63665797686,8.88594739521115,0.919449901768173,0.905697445972495,0.895874263261297,0.901768172888016,0.915520628683694,0.968565815324165,1.68514063902726,2.12174618748479,NA,NA,NA,NA,NA,NA
1978,"hindcast",478.347276199606,18.6105961050279,6518.44224441529,20.8162977734452,604.089177057033,3.70300690585944,6618.37827887298,2.19063683018083,0.946954813359528,0.931237721021611,0.921414538310413,0.927308447937132,0.93713163064833,0.968565815324165,4.41024158849012,3.96132820377495,NA,NA,NA,NA,NA,NA
1979,"hindcast",494.545097266287,7.68636097785969,6542.6930411074,24.6694288401654,602.956804362325,4.19253524264007,6623.86002611483,0.857337925279876,0.946954813359528,0.93713163064833,0.923379174852652,0.931237721021611,0.943025540275049,0.966601178781925,7.20499221950241,5.81225476553193,NA,NA,NA,NA,NA,NA
1980,"hindcast",471.946566805418,32.1290375533248,6505.67310954513,22.9805555536489,604.045974163735,3.60837529047086,6616.87386567736,3.32415784458467,0.944990176817289,0.933202357563851,0.923379174852652,0.929273084479371,0.93713163064833,0.970530451866405,3.1585315692577,3.0167872362722,NA,NA,NA,NA,NA,NA
1981,"hindcast",488.232548766315,26.0417879664519,6501.6121271725,21.4965910883991,604.77987911409,3.38642210481159,6617.83124907801,2.75467706876574,0.944990176817289,0.931237721021611,0.921414538310413,0.928781925343811,0.93713163064833,0.966601178781925,3.64420922604659,3.36334570168058,NA,NA,NA,NA,NA,NA
1982,"hindcast",428.524363735763,36.6234519859007,6523.42684958374,20.7005539988407,600.526669598979,6.64038537959382,6611.94569347683,5.90569416917054,0.917485265225933,0.901768172888016,0.889980353634578,0.895874263261297,0.915520628683694,0.968565815324165,2.12651170120581,2.40725928489392,6477.30416925067,6456.69339220303,454.910699374411,635.946657126408,0.944983818770227,0.927184466019418
1983,"hindcast",462.90287449819,32.3468985657576,6509.88297116674,20.4679626274031,606.6325698694,2.65293800705244,6613.53693703278,4.86578980084137,0.950884086444008,0.941060903732809,0.927308447937132,0.93516699410609,0.946954813359528,0.970530451866405,2.46608308141678,2.5131008619387,6450.77316926554,6457.28213382019,496.430182403162,641.141906479073,0.968847352024922,0.962616822429907
1984,"hindcast",455.164227087627,61.4028637120466,6481.60041432067,32.4618789940295,605.370122110044,3.963868891106,6603.24807134157,9.5551872681974,0.925343811394892,0.903732809430255,0.888015717092338,0.897838899803536,0.911591355599214,0.970530451866405,1.14936566455794,1.68204794414325,6436.36405616811,6458.55706429292,477.9162757962,636.360224163047,0.965408805031447,0.940251572327044
1985,"hindcast",428.60718459908,56.8191235920478,6505.62369461274,28.7671589325689,605.565578972591,4.10313926747001,6601.50453553851,10.5270644730954,0.919449901768173,0.903732809430255,0.893860510805501,0.899803536345776,0.907662082514735,0.970530451866405,1.18214700893667,1.71371539829582,6469.55943637108,6463.03488704949,446.329450354011,636.936701964771,0.954407294832827,0.942249240121581
