"x","fit","se","lower","upper","component","model","predictor","weight"
-1.73087894916534,0.119305023788621,0.139797634124018,-0.0204926103353969,0.259102657912639,"binomial",1,"temp_bottom5m",0.138794947403413
-1.58574291431543,0.113628477412449,0.133146255384439,-0.0195177779719898,0.246774732796888,"binomial",1,"temp_bottom5m",0.138794947403413
-1.44060687946551,0.107952105482939,0.126495086642017,-0.0185429811590774,0.234447192124956,"binomial",1,"temp_bottom5m",0.138794947403413
-1.29547084461559,0.102276983108474,0.119845388440079,-0.0175684053316041,0.222122371548553,"binomial",1,"temp_bottom5m",0.138794947403413
-1.15033480976567,0.0966051600317717,0.113199563408905,-0.0165944033771332,0.209804723440677,"binomial",1,"temp_bottom5m",0.138794947403413
-1.00519877491575,0.0909397988926936,0.106561318287427,-0.0156215193947332,0.19750111718012,"binomial",1,"temp_bottom5m",0.138794947403413
-0.860062740065835,0.0852854958678588,0.0999360396226019,-0.0146505437547431,0.185221535490461,"binomial",1,"temp_bottom5m",0.138794947403413
-0.714926705215917,0.0796480617286152,0.093330537300728,-0.0136824755721128,0.172978599029343,"binomial",1,"temp_bottom5m",0.138794947403413
-0.569790670365998,0.0740342917787346,0.0867527750767486,-0.012718483298014,0.160787066855483,"binomial",1,"temp_bottom5m",0.138794947403413
-0.42465463551608,0.0684516851414358,0.0802115418039757,-0.0117598566625399,0.148663226945412,"binomial",1,"temp_bottom5m",0.138794947403413
-0.279518600666162,0.0629083944848636,0.0737163927042443,-0.0108079982193808,0.136624787189108,"binomial",1,"temp_bottom5m",0.138794947403413
-0.134382565816244,0.0574130857455257,0.0672774852880489,-0.00986439954252327,0.124690571033575,"binomial",1,"temp_bottom5m",0.138794947403413
0.0107534690336748,0.0519748569346875,0.060905484652581,-0.00893062771789349,0.112880341587269,"binomial",1,"temp_bottom5m",0.138794947403413
0.155889503883593,0.0466032621630047,0.0546115923133149,-0.00800833015031024,0.10121485447632,"binomial",1,"temp_bottom5m",0.138794947403413
0.301025538733511,0.041308309776062,0.0484075451776868,-0.00709923540162481,0.0897158549537488,"binomial",1,"temp_bottom5m",0.138794947403413
0.446161573583429,0.0361003205528732,0.0423054514936288,-0.0062051309407556,0.078405772046502,"binomial",1,"temp_bottom5m",0.138794947403413
0.591297608433348,0.030989835409228,0.0363176866700382,-0.00532785126081011,0.0673075220792662,"binomial",1,"temp_bottom5m",0.138794947403413
0.736433643283266,0.0259875211071597,0.0304567909326348,-0.00446926982547513,0.0564443120397945,"binomial",1,"temp_bottom5m",0.138794947403413
0.881569678133184,0.0211040987838839,0.0247354040699801,-0.00363130528609619,0.045839502853864,"binomial",1,"temp_bottom5m",0.138794947403413
1.0267057129831,0.0163502791259884,0.0191662378195933,-0.00281595869360491,0.0355165169455818,"binomial",1,"temp_bottom5m",0.138794947403413
1.17184174783302,0.0117366890745055,0.0137621450723186,-0.0020254559978131,0.0254988341468241,"binomial",1,"temp_bottom5m",0.138794947403413
1.31697778268294,0.00727380555426717,0.00853673858198682,-0.00126293302771965,0.015810544136254,"binomial",1,"temp_bottom5m",0.138794947403413
1.46211381753286,0.00297190711446054,0.00351082021480034,-0.000538913100339798,0.00648272732926089,"binomial",1,"temp_bottom5m",0.138794947403413
1.60724985238278,-0.00115899693599798,0.00141767449469943,-0.00257667143069741,0.000258677558701449,"binomial",1,"temp_bottom5m",0.138794947403413
1.75238588723269,-0.00510923944086551,0.00599778909853313,-0.0111070285393986,0.000888549657667622,"binomial",1,"temp_bottom5m",0.138794947403413
1.89752192208261,-0.00886958017991875,0.010397747618734,-0.0192673277986527,0.00152816743881523,"binomial",1,"temp_bottom5m",0.138794947403413
2.04265795693253,-0.0124312710766023,0.0145687335866892,-0.0270000046632915,0.00213746251008692,"binomial",1,"temp_bottom5m",0.138794947403413
2.18779399178245,-0.015786120393604,0.0184985088860662,-0.0342846292796702,0.00271238849246228,"binomial",1,"temp_bottom5m",0.138794947403413
2.33293002663237,-0.0189266016574839,0.0221776140959284,-0.0411042157534123,0.00325101243844449,"binomial",1,"temp_bottom5m",0.138794947403413
2.47806606148229,-0.0218458618873119,0.0255977889068082,-0.0474436507941202,0.00375192701949631,"binomial",1,"temp_bottom5m",0.138794947403413
2.6232020963322,-0.0245376879865578,0.028751651833392,-0.0532893398199499,0.00421396384683419,"binomial",1,"temp_bottom5m",0.138794947403413
2.76833813118212,-0.026996448034108,0.0316325539661824,-0.0586290020002904,0.00463610593207444,"binomial",1,"temp_bottom5m",0.138794947403413
2.91347416603204,-0.0292171242563726,0.0342345902813655,-0.0634517145377381,0.00501746602499283,"binomial",1,"temp_bottom5m",0.138794947403413
3.05861020088196,-0.0311954348134153,0.0365527310498859,-0.0677481658633013,0.00535729623647058,"binomial",1,"temp_bottom5m",0.138794947403413
3.20374623573188,-0.0329279448487215,0.0385829467698685,-0.0715108916185901,0.00565500192114702,"binomial",1,"temp_bottom5m",0.138794947403413
3.34888227058179,-0.0344121610228404,0.04032231639453,-0.0747344774173704,0.00591015537168962,"binomial",1,"temp_bottom5m",0.138794947403413
3.49401830543171,-0.0356465107740918,0.0417690017803732,-0.0774155125544649,0.00612249100628139,"binomial",1,"temp_bottom5m",0.138794947403413
3.63915434028163,-0.0366301477842147,0.0429220192135595,-0.0795521669977742,0.00629187142934476,"binomial",1,"temp_bottom5m",0.138794947403413
3.78429037513155,-0.0373630703506754,0.0437813779967939,-0.0811444483474693,0.0064183076461185,"binomial",1,"temp_bottom5m",0.138794947403413
