"year","sim","eastings_mean","eastings_sd","northings_mean","northings_sd","eastings_mean_occ","eastings_sd_occ","northings_mean_occ","northings_sd_occ","area_occupied_mean","area_occupied_median","area_occupied_2.5","area_occupied_25","area_occupied_75","area_occupied_97.5","mahalanobis_binom","mahalanobis_tweedie","northings_survey_mean","northings_survey_mean_occ","eastings_survey_mean","eastings_survey_mean_occ","area_occupied_survey_mean","area_occupied_survey_median"
1970,"hindcast",979.787661493062,46.2740837371379,6377.81151977568,8.48974621590712,916.471122422357,8.54586006171169,6538.15533376222,37.4876846773631,0.182711198428291,0.18467583497053,0.174852652259332,0.180746561886051,0.18860510805501,0.198428290766208,1.64935732782169,2.15513055011877,NA,NA,NA,NA,NA,NA
1971,"hindcast",978.455056899584,54.9594108176138,6367.17605062945,4.6073323247377,912.046058669556,6.27808499411513,6543.34223824965,38.8203007386754,0.18467583497053,0.194499017681729,0.18467583497053,0.19056974459725,0.198428290766208,0.206286836935167,1.44206199291683,1.97767713501401,NA,NA,NA,NA,NA,NA
1972,"hindcast",990.470916827745,47.8336028719835,6362.98099481304,6.14464162936349,910.940264011118,5.26431833720644,6546.76094191694,36.9326716673479,0.202357563850688,0.204322200392927,0.19056974459725,0.198428290766208,0.208251473477407,0.216110019646365,1.947985672655,2.32022836490734,NA,NA,NA,NA,NA,NA
1973,"hindcast",980.219896053795,49.0512391711991,6369.93200947557,4.87510073932445,915.199081502255,9.4447272722316,6535.77738241538,38.3823330785118,0.18664047151277,0.18860510805501,0.180746561886051,0.18664047151277,0.192534381139489,0.204322200392927,1.33423037573337,1.93346090760156,NA,NA,NA,NA,NA,NA
1974,"hindcast",986.715914035717,52.6804398626558,6357.53673468421,8.22770243449325,919.547697730598,8.2003972497132,6518.20440415276,36.4080320024882,0.174852652259332,0.178781925343811,0.170874263261297,0.174852652259332,0.182711198428291,0.200392927308448,1.22345532479281,1.88185178456017,NA,NA,NA,NA,NA,NA
1975,"hindcast",986.775586770003,52.2100992203774,6361.96516702569,5.74140092880983,909.911531510204,6.21564513221367,6540.7020341273,38.5226931433347,0.18664047151277,0.198428290766208,0.18860510805501,0.194499017681729,0.202357563850688,0.220039292730845,1.526352759524,2.07384660505128,NA,NA,NA,NA,NA,NA
1976,"hindcast",981.258130419159,52.0233766501235,6367.1849570725,5.08239577534316,906.477582443278,4.73047315064541,6549.70193508812,39.7823083059625,0.204322200392927,0.206286836935167,0.196463654223969,0.202357563850688,0.210216110019646,0.218074656188605,1.55913139476994,1.99431094818959,NA,NA,NA,NA,NA,NA
1977,"hindcast",966.89027145637,37.5133438331198,6413.07709640003,39.785001954267,911.412955612769,8.53150376545787,6551.90815748725,38.9860431774142,0.196463654223969,0.198428290766208,0.19056974459725,0.196463654223969,0.202357563850688,0.208251473477407,1.60329496695461,2.07730434394336,NA,NA,NA,NA,NA,NA
1978,"hindcast",965.867719279712,32.986039008773,6402.71396716916,34.5002719291858,919.945837394081,9.24872806006226,6535.42288374242,43.4892536683948,0.176817288801572,0.18467583497053,0.137524557956778,0.178781925343811,0.19056974459725,0.196463654223969,4.48765681998664,3.99528378637144,NA,NA,NA,NA,NA,NA
1979,"hindcast",963.61078237711,29.3740571045189,6398.12133186016,35.9836656217416,931.490571927832,9.28356797220676,6519.86714487934,41.2926750820781,0.168958742632613,0.178781925343811,0.119842829076621,0.174852652259332,0.182711198428291,0.18860510805501,7.47157679848883,5.92956068142169,NA,NA,NA,NA,NA,NA
1980,"hindcast",962.397805981143,33.4874050945035,6411.55644667899,40.2150527860758,917.324344575178,7.64059091953494,6541.69184106509,43.5270209312802,0.182711198428291,0.19056974459725,0.151277013752456,0.18664047151277,0.194499017681729,0.200392927308448,3.18087402402138,3.02465744786481,NA,NA,NA,NA,NA,NA
1981,"hindcast",976.743895258431,41.1373146824894,6369.58821733068,4.51207499207456,922.408572246097,9.12494251245808,6514.1503986762,37.0270467606523,0.168958742632613,0.174852652259332,0.145383104125737,0.170923379174853,0.178781925343811,0.182711198428291,3.68984174822062,3.39549972482409,NA,NA,NA,NA,NA,NA
1982,"hindcast",970.683158476932,40.6058215747011,6406.36400400384,35.3463812199703,912.00458270796,6.8731663165681,6553.64949097972,41.6161249771454,0.196463654223969,0.202357563850688,0.192534381139489,0.198428290766208,0.204322200392927,0.214145383104126,2.06881795524204,2.35956336988444,6358.36572095982,6417.06870303424,980.387176056047,942.679440891864,0.210031347962382,0.216300940438871
1983,"hindcast",963.765232922294,30.7333055182246,6415.53415651513,41.3414060344298,914.132874381891,8.36117724991772,6545.40035173493,43.4741510923741,0.18664047151277,0.19056974459725,0.145383104125737,0.18664047151277,0.194499017681729,0.202357563850688,2.44981099498789,2.5056863763306,6360.49062904149,6411.10611901031,976.348274428356,944.462053714069,0.204892966360856,0.207951070336391
1984,"hindcast",989.29780422204,52.47986896207,6365.45932133052,3.34122980058179,917.892935028105,7.33962750551472,6534.23220756741,37.9642322478558,0.182711198428291,0.192534381139489,0.182711198428291,0.18860510805501,0.196463654223969,0.206335952848723,1.03500045566011,1.63289097746411,6354.02138977695,6420.25378406287,985.729704078578,942.133092462307,0.209726443768997,0.212765957446809
1985,"hindcast",982.450608878369,48.3723657436087,6378.58961194742,10.5948711974387,908.647294816,6.78936791023907,6548.12790540693,39.2055738140353,0.19056974459725,0.198428290766208,0.188555992141454,0.194499017681729,0.202357563850688,0.220039292730845,1.07488712707465,1.67026913307837,6356.25939869656,6423.05634814222,984.008854932506,935.908563850664,0.209090909090909,0.212121212121212
