"id","species","component","formula","AIC","dev.expl","AUC","biomass_pearson","biomass_spearman","weight"
1,"Pacific cod","binomial","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",8175.41597696222,0.090457476503273,0.708934430646459,NA,NA,0.0209001336979402
1,"Pacific cod","tweedie","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",184366.892137341,0.14426930525094,NA,0.23383524342129,0.343365584217833,0.0542495169000128
2,"Pacific cod","binomial","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",8121.30975789356,0.0966381735459045,0.710690509843239,NA,NA,0.0386085362658131
2,"Pacific cod","tweedie","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",184175.567848492,0.153850432200255,NA,0.235890172533599,0.373378892730795,0.159969113180641
3,"Pacific cod","binomial","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",7212.95309669794,0.204074883323749,0.811600825901652,NA,NA,0.914461945229559
3,"Pacific cod","tweedie","~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",182708.739807032,0.227840594976762,NA,0.282360820424508,0.501728276216559,0.472460453957678
4,"Pacific cod","binomial","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",7227.90736249312,0.202216413720914,0.809935340789486,NA,NA,0.026029384806688
4,"Pacific cod","tweedie","~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",182656.849191434,0.230355039205434,NA,0.282591050928718,0.505766503380968,0.313320915961668
