"year","sim","eastings_mean","eastings_sd","northings_mean","northings_sd","eastings_mean_occ","eastings_sd_occ","northings_mean_occ","northings_sd_occ","area_occupied_mean","area_occupied_median","area_occupied_2.5","area_occupied_25","area_occupied_75","area_occupied_97.5","mahalanobis_binom","mahalanobis_tweedie","northings_survey_mean","northings_survey_mean_occ","eastings_survey_mean","eastings_survey_mean_occ","area_occupied_survey_mean","area_occupied_survey_median"
1970,"hindcast",852.886317396681,12.3000687701627,6542.37361928211,14.9271067684836,722.444128873767,4.51446103503987,6649.98815214736,6.67362886030578,0.726915520628684,0.715127701375246,0.705304518664047,0.711198428290766,0.746561886051081,0.75049115913556,2.03441438891,2.07076282244235,NA,NA,NA,NA,NA,NA
1971,"hindcast",856.022809789778,17.8808154126982,6539.73982973781,22.6250322220791,721.377071716715,6.34495088331575,6648.0225234209,6.8718296334443,0.728880157170923,0.709233791748527,0.695481335952849,0.703339882121807,0.754420432220039,0.758349705304519,1.88355341920308,1.91221647035184,NA,NA,NA,NA,NA,NA
1972,"hindcast",855.325770717478,17.0126277712991,6555.62863277074,23.23747198636,723.235955756854,5.96870687219076,6649.90281046696,8.71490815497531,0.721021611001965,0.705304518664047,0.68565815324165,0.697445972495088,0.74852652259332,0.74852652259332,2.24814985089316,2.255083865116,NA,NA,NA,NA,NA,NA
1973,"hindcast",847.530953870845,10.1827978973276,6535.49046733861,17.8235832740836,719.948948881732,5.74247489617733,6649.70976019233,5.79959623341287,0.730844793713163,0.717092337917485,0.705304518664047,0.713163064833006,0.758349705304519,0.760314341846758,1.85640573582419,1.85931101145481,NA,NA,NA,NA,NA,NA
1974,"hindcast",853.212551633857,12.8705094100042,6524.44095847593,13.1111032537418,722.417435582867,5.06536006060289,6647.72629399312,5.61189913702255,0.728880157170923,0.711198428290766,0.703339882121807,0.707269155206287,0.74852652259332,0.7524557956778,1.69829086823317,1.75943201912894,NA,NA,NA,NA,NA,NA
1975,"hindcast",852.607658327617,16.3502577093854,6536.92328683595,22.3658587201887,719.519593149759,7.4192353154055,6647.4808658781,6.0262762190933,0.734774066797642,0.719056974459725,0.68958742632613,0.711198428290766,0.762278978388998,0.768172888015717,1.96600089160319,1.96696293566221,NA,NA,NA,NA,NA,NA
1976,"hindcast",853.554138751026,21.7265620362396,6545.71711011615,29.9236188020437,720.611158063796,6.94315161972709,6647.11043994609,7.15947980128243,0.728880157170923,0.711198428290766,0.68958742632613,0.703339882121807,0.760314341846758,0.764292730844794,1.91138411269844,1.91427274153442,NA,NA,NA,NA,NA,NA
1977,"hindcast",847.342183920872,10.7157596553124,6544.03368493867,18.0925094648999,720.299810910766,5.16555554087344,6649.71244310645,5.27467113489569,0.736738703339882,0.722986247544204,0.705304518664047,0.717092337917485,0.754420432220039,0.758349705304519,2.00691697514537,1.97447656637832,NA,NA,NA,NA,NA,NA
1978,"hindcast",848.280156419869,7.95828522290796,6524.92815765559,10.6023705444044,721.343428448566,3.95333537062779,6650.97093893945,5.50253655420507,0.732809430255403,0.724950884086444,0.715127701375246,0.721021611001965,0.744597249508841,0.74852652259332,4.07831008055694,4.11898526248077,NA,NA,NA,NA,NA,NA
1979,"hindcast",845.270569678749,6.35744942525317,6523.03465541239,8.54590895840431,721.697803267585,3.37744500862529,6652.67126996474,5.56080213526338,0.740667976424361,0.730844793713163,0.719056974459725,0.726915520628684,0.742632612966601,0.746561886051081,6.23789139879694,6.27692335860967,NA,NA,NA,NA,NA,NA
1980,"hindcast",845.69947131436,9.16635847938043,6537.49829880189,16.3017361297937,720.649333554447,4.28880183672122,6651.81713336656,5.41988486733077,0.738703339882122,0.726915520628684,0.715127701375246,0.722986247544204,0.74852652259332,0.7524557956778,3.05199541217955,3.06851273108951,NA,NA,NA,NA,NA,NA
1981,"hindcast",846.722102316961,7.13698862598967,6527.5055264241,8.15384460440033,721.059999682339,4.48496790082436,6652.71577794143,6.92269937810253,0.730844793713163,0.721021611001965,0.713163064833006,0.717092337917485,0.742632612966601,0.746561886051081,3.40897209676662,3.46458555302437,NA,NA,NA,NA,NA,NA
1982,"hindcast",843.743032431407,14.4949262178649,6545.08089852015,22.5622055434422,721.50434621885,4.85557316736643,6649.92500361943,5.94225412204765,0.732809430255403,0.721021611001965,0.703339882121807,0.715127701375246,0.754420432220039,0.756385068762279,2.35027883968118,2.3172443896831,6447.63485683597,6450.51615584608,880.252346982765,794.407487285595,0.670926517571885,0.670926517571885
1983,"hindcast",845.544959953096,8.6053292968185,6541.8980031215,17.756686115707,723.047221333324,3.51132960958831,6650.70304163095,5.74950355363279,0.732809430255403,0.719056974459725,0.711198428290766,0.717092337917485,0.746561886051081,0.74852652259332,2.48173847050344,2.50414929440228,6449.80877149856,6458.50228648037,880.815433118745,790.36784103486,0.681528662420382,0.67515923566879
1984,"hindcast",859.554982883258,13.2916019012649,6538.449961333,23.1701951858219,722.552066275441,4.30484911231113,6650.00146243251,6.77415449179252,0.728880157170923,0.709233791748527,0.701375245579568,0.707269155206287,0.74852652259332,0.7524557956778,1.48752066521832,1.51581438896613,6451.43627680244,6461.87996675346,896.042022168003,786.494014183885,0.673913043478261,0.667701863354037
1985,"hindcast",847.857063340808,15.5287850926001,6543.26647701114,23.1599406725423,721.940774999568,5.63363757548198,6647.78120324666,5.86813904277659,0.730844793713163,0.715127701375246,0.697445972495088,0.707269155206287,0.754420432220039,0.758349705304519,1.53161038505215,1.54147149964743,6451.25062113129,6457.54666939986,888.213157609726,790.838403096256,0.660493827160494,0.654320987654321
1986,"hindcast",849.451227208289,9.60843907719413,6543.10047774792,19.6121531349096,719.854897871039,6.5242073564211,6650.48695455707,7.10901413546417,0.734774066797642,0.715127701375246,0.701375245579568,0.711198428290766,0.758349705304519,0.760314341846758,1.44278877821664,1.47173752220631,6452.83806172895,6462.10623373782,889.298983537629,785.215042128364,0.666666666666667,0.654320987654321
1987,"hindcast",843.436538110127,8.30232212981284,6554.79002166337,18.6162617283633,721.88064305739,4.30313368847697,6650.96434900149,6.64930571377967,0.736738703339882,0.719056974459725,0.711198428290766,0.716601178781925,0.746561886051081,0.75049115913556,2.50408124963508,2.50896952918605,6451.49980535885,6458.17847502204,886.476311148965,795.922508218272,0.642857142857143,0.636645962732919
1988,"hindcast",851.951512062206,10.2267318920608,6529.68387362709,18.5285336730861,722.260793499489,4.49866559752884,6649.38489901181,5.93925803827461,0.732809430255403,0.715127701375246,0.707269155206287,0.713163064833006,0.75049115913556,0.7524557956778,1.80961092836962,1.84836402217158,6454.53059429917,6473.58271751614,880.1480115481,769.884858938109,0.640579710144928,0.631884057971015
1989,"hindcast",845.897366947685,9.31432375642484,6530.06021779867,14.0015405229385,721.221261136626,4.40829375866577,6651.18168879701,5.36904355809369,0.736738703339882,0.726915520628684,0.713163064833006,0.721021611001965,0.74852652259332,0.75049115913556,3.97171431378641,3.98418353601663,6450.77160431514,6469.83273887575,875.218086162414,773.06061929393,0.645161290322581,0.642228739002933
1990,"hindcast",840.996142964175,7.55970202461948,6541.96621317192,15.9893743224277,721.346475528998,4.31944099272765,6651.5926359517,6.6633676290133,0.734774066797642,0.721021611001965,0.711198428290766,0.717092337917485,0.746561886051081,0.74852652259332,2.36581995745125,2.39793512834478,6454.29221480863,6470.28980151958,875.706671960674,775.775525212879,0.642441860465116,0.636627906976744
1991,"hindcast",849.712183602115,8.90936185472709,6537.61318063506,20.5299431732336,721.006818133731,4.80038646339067,6650.03665368136,6.51120544316455,0.732809430255403,0.717092337917485,0.709233791748527,0.713163064833006,0.7524557956778,0.756385068762279,1.68294214609051,1.71379341584201,6452.41620553163,6474.31153478353,882.963954312627,772.292339845897,0.651162790697674,0.642441860465116
1992,"hindcast",857.274083370608,16.4251147263081,6542.14181488774,22.6817274459401,723.241702334389,5.28123582380076,6648.26198408703,7.18311108621689,0.724950884086444,0.707269155206287,0.693516699410609,0.703339882121807,0.75049115913556,0.7524557956778,1.60069227785876,1.62983310792317,6442.0790734854,6458.96144273581,909.935364352729,786.215591444739,0.624615384615385,0.621538461538461
1993,"hindcast",846.634199904178,7.7752042375576,6535.40311732396,11.8618849358432,721.558446811166,3.95113682336314,6653.0542073258,7.21430152375869,0.732809430255403,0.721021611001965,0.711198428290766,0.717092337917485,0.740667976424361,0.744597249508841,3.37110214985118,3.41874682515398,6454.31465663209,6472.82142727118,877.429777459425,775.678046635548,0.643478260869565,0.63768115942029
