"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,865.871743784443,6467.61696359457,790.839419471848,6431.39571918971,0.718849840255591
1983,843.161739548025,6455.4763695462,777.463863938256,6447.43913810937,0.74203821656051
1984,821.148174667075,6462.02947428315,765.524270765533,6447.67390110887,0.748447204968944
1985,853.695940655519,6447.02138026423,774.592987161434,6436.61189215582,0.743827160493827
1986,878.11596947716,6458.8283767026,794.699088784582,6444.73032420554,0.682098765432099
1987,926.331952584942,6437.83027432352,808.167746852066,6449.57982988842,0.642857142857143
1988,915.038997619009,6434.56346848371,786.23505596242,6455.82470274097,0.635838150289017
1989,939.093875133883,6468.84940549534,792.175373068416,6459.61264878643,0.621700879765396
1990,901.225000950053,6445.72022604553,803.596590292864,6448.19825898256,0.61046511627907
1991,872.41962005933,6462.80243103004,781.315669497163,6453.4684806331,0.658892128279883
1992,890.885907962597,6454.32679624922,799.664197790123,6440.20948076525,0.630769230769231
1993,871.897984255247,6444.34444050232,789.732584335945,6459.40703579467,0.634782608695652
1994,873.78547340526,6464.88835624025,751.070514706261,6476.12886636401,0.693409742120344
1995,873.738786537569,6466.35972427694,781.364778055477,6460.20301659408,0.641833810888252
1996,854.549616779182,6454.34660089688,778.905391875842,6455.08882396842,0.657060518731988
1997,895.166841603605,6454.59162706594,764.682553246888,6465.33079629959,0.679083094555874
1998,840.706845657821,6443.60384196905,690.066355282002,6485.78152892008,0.821325648414986
1999,909.761117396659,6443.81296553892,726.791311706608,6482.47840873558,0.71304347826087
2000,890.6613081607,6459.75782442006,761.925250771515,6463.20358787945,0.662790697674419
2001,863.766202810895,6471.1941646133,772.564191599406,6463.06221076534,0.661849710982659
2002,899.791660616261,6464.67033604954,780.572129586978,6465.43414216328,0.64367816091954
2003,907.663791437371,6449.21434351747,788.605866459629,6465.43627110332,0.629310344827586
2004,889.29220412101,6455.76695231156,778.222727640836,6464.42159491652,0.648414985590778
2005,921.008660064475,6460.33512939602,780.034651894837,6465.90911429727,0.646376811594203
2006,929.20797703772,6447.36536646094,786.143957583477,6463.215477018,0.626436781609195
2007,906.287850967573,6450.7107620155,786.535600334696,6458.76820314506,0.635057471264368
2008,892.404744076103,6460.64657917923,780.000312853762,6468.59581872409,0.620991253644315
2009,930.862350395547,6451.35918781042,812.550968105199,6450.74425068411,0.579250720461095
2010,905.835381888685,6527.0667668608,749.952827637377,6605.79205088771,0.600409836065574
2011,950.893448359825,6446.08875120772,826.414333384059,6450.83003409526,0.550143266475645
2012,922.253433865665,6459.80917223529,808.469007128466,6454.73844458196,0.587392550143267
2013,916.837493318056,6452.00354410389,809.076634842001,6452.78555718451,0.577586206896552
2014,948.972433946915,6435.33152177175,819.792151023314,6449.02849713814,0.566473988439306
2015,932.188962346725,6426.41254547305,828.904252553134,6441.24536800378,0.557803468208092
2016,881.02631029159,6440.41288411296,794.335499569989,6452.46074813525,0.623563218390805
2017,872.480817123761,6490.29595229159,724.208082087217,6607.24104137829,0.67280163599182
2018,846.695053845132,6448.15520247947,762.478384079797,6466.02136571602,0.681034482758621
2019,825.921204211811,6523.77496022262,691.732419891635,6635.99933188947,0.745934959349594
